Height,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
98.5,-0.3521,14.9468,0.08165,12.87050599,13.48718648,13.75096087,14.15336332,14.9468,15.80158531,16.28767017,16.62840248,17.50299093,19.4672626
99,-0.3521,15.0818,0.08185,12.98211946,13.60563959,13.87236747,14.27930729,15.0818,15.94649935,16.4382928,16.78305661,17.66810353,19.65642175
99.5,-0.3521,15.2187,0.08206,13.09505354,13.7255776,13.9953313,14.40692111,15.2187,16.09357298,16.59122791,16.94013263,17.83592715,19.84898338
100,-0.3521,15.3576,0.08229,13.20915091,13.84691387,14.11979744,14.53620002,15.3576,16.24302766,16.74676988,17.09997766,18.00695029,20.04578415
100.5,-0.3521,15.4985,0.08252,13.32487277,13.96998323,14.24604388,14.66733212,15.4985,16.39464502,16.90456911,17.26214712,18.18047365,20.24549708
101,-0.3521,15.6412,0.08277,13.44156586,14.09425569,14.37359635,14.79993151,15.6412,16.5484422,17.06477378,17.42688431,18.35699641,20.44925619
101.5,-0.3521,15.7857,0.08302,13.5596994,14.22007202,14.50273779,14.93418969,15.7857,16.7041967,17.22702765,17.5937361,18.53580552,20.65570733
102,-0.3521,15.932,0.08328,13.67902759,14.34725356,14.6333198,15.07000616,15.932,16.86202557,17.39151823,17.7629411,18.7172769,20.86556613
102.5,-0.3521,16.0801,0.08354,13.79978808,14.47597291,14.76548572,15.20747796,16.0801,17.02181599,17.55806484,17.93426947,18.90104875,21.078145
103,-0.3521,16.2298,0.08381,13.92155918,14.60586821,14.89890085,15.34631361,16.2298,17.1834755,17.72664024,18.10774143,19.08726941,21.29391249
103.5,-0.3521,16.3812,0.08408,14.0446686,14.73720527,15.03380301,15.48670656,16.3812,17.34699494,17.89716936,18.28323408,19.27568723,21.51229738
104,-0.3521,16.5342,0.08436,14.16877627,14.8697091,15.16994668,15.62845807,16.5342,17.51238995,18.0697378,18.46088384,19.4665757,21.73391458
