Month,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
89,-0.4873,23.9272,0.13969,18.68639344,20.15350324,20.80338042,21.82149218,23.9272,26.34996348,27.80333881,28.85636026,31.69475601,38.84850985
90,-0.4964,24.1371,0.14016,18.84061393,20.32170394,20.97816769,22.00709166,24.1371,26.59110321,28.06492086,29.13355525,32.01740105,39.30749236
91,-0.5053,24.3479,0.14065,18.99468443,20.49000737,21.15317921,22.19311836,24.3479,26.83378569,28.32848792,29.41308461,32.34345376,39.77358104
92,-0.5142,24.5595,0.14117,19.14830945,20.65813553,21.32815376,22.37934882,24.5595,27.07813106,28.59433344,29.69538704,32.67382863,40.24945521
93,-0.5229,24.7722,0.1417,19.30222957,20.82675346,21.50371108,22.56631714,24.7722,27.32407489,28.86212572,29.97991456,33.00730062,40.73158984
94,-0.5315,24.9858,0.14226,19.45569718,20.99522595,21.67927587,22.75355441,24.9858,27.5718088,29.13233399,30.26735766,33.34524199,41.22364148
95,-0.5399,25.2005,0.14284,19.60911357,21.16392137,21.85519611,22.94136949,25.2005,27.82136103,29.40485966,30.55751491,33.68712853,41.72399061
96,-0.5482,25.4163,0.14344,19.76252374,21.33285927,22.0314831,23.12976466,25.4163,28.07275868,29.67976273,30.85047835,34.03317556,42.23343205
97,-0.5564,25.6332,0.14407,19.91558965,21.5017789,22.20791457,23.31858329,25.6332,28.3262177,29.95740761,31.14672911,34.38421857,42.75397527
98,-0.5644,25.8513,0.14472,20.06863721,21.67096741,22.38475449,23.50804551,25.8513,28.58165021,30.23756809,31.44592879,34.73956665,43.28372491
99,-0.5722,26.0706,0.14539,20.22165126,21.84041232,22.56199191,23.69814323,26.0706,28.83906991,30.52026884,31.74811149,35.09928693,43.82289978
100,-0.5799,26.2911,0.14608,20.37467963,22.01013464,22.73963905,23.88887906,26.2911,29.0985059,30.80557469,32.05337717,35.46361598,44.37239814
101,-0.5873,26.5128,0.14679,20.52758168,22.18005496,22.91763856,24.08022339,26.5128,29.35994194,31.09343197,32.36163146,35.83229037,44.93112189
102,-0.5946,26.7358,0.14752,20.68054633,22.35031184,23.09611252,24.27228043,26.7358,29.62353385,31.38406428,32.67316438,36.20585711,45.50084701
103,-0.6017,26.9602,0.14828,20.83323647,22.52068316,23.27489172,24.46496605,26.9602,29.88960621,31.67793726,32.98854668,36.58518292,46.0832816
104,-0.6085,27.1861,0.14905,20.9863158,22.69171979,23.45446611,24.65866095,27.1861,30.1578414,31.97443241,33.30691766,36.96865017,46.67419335
105,-0.6152,27.4137,0.14984,21.13972062,22.86338825,23.63482589,24.85340583,27.4137,30.42872181,32.27425659,33.62917427,37.3577908,47.27761942
106,-0.6216,27.6432,0.15066,21.2931127,23.03550532,23.81585581,25.04919052,27.6432,30.7026729,32.57796006,33.95595157,37.75344217,47.8947089
107,-0.6278,27.875,0.15149,21.44752784,23.20895053,23.99836056,25.24669593,27.875,30.97973235,32.88534415,34.28687121,38.15470829,48.52307706
108,-0.6337,28.1092,0.15233,21.60295766,23.38375763,24.18238993,25.44599322,28.1092,31.26000409,33.19649847,34.62200394,38.56157108,49.16220612
109,-0.6393,28.3459,0.15319,21.75911521,23.55972788,24.36778914,25.64700272,28.3459,31.54383714,33.51194411,34.96200666,38.97510242,49.81457223
110,-0.6446,28.5854,0.15406,21.91655377,23.73736139,24.55503042,25.85014755,28.5854,31.83135253,33.83167486,35.30677134,39.39487846,50.47867462
111,-0.6496,28.8277,0.15493,22.07560228,23.91691451,24.7443333,26.05558351,28.8277,32.12232878,34.15531345,35.65579662,39.82001416,51.15231446
112,-0.6543,29.0731,0.15581,22.23612408,24.09835233,24.93571291,26.26341049,29.0731,32.41733912,34.48362006,36.00998935,40.25186099,51.83832194
113,-0.6585,29.3217,0.1567,22.39802037,24.2816584,25.12918338,26.47368229,29.3217,32.71646653,34.81662564,36.36932091,40.69012735,52.5349266
114,-0.6624,29.5736,0.1576,22.5614931,24.46697854,25.32487191,26.6865054,29.5736,33.01987304,35.15457011,36.73410872,41.13543737,53.24430055
115,-0.6659,29.8289,0.1585,22.72687223,24.6546132,25.52305779,26.90211527,29.8289,33.32741946,35.49712299,37.10385926,41.5867459,53.96313847
116,-0.6689,30.0877,0.1594,22.89413084,24.84458616,25.72378397,27.12058028,30.0877,33.63919974,35.84434845,37.47860109,42.04391812,54.69032787
117,-0.6714,30.3501,0.16031,23.0629569,25.03668,25.92688007,27.34181005,30.3501,33.955575,36.19678619,37.8590137,42.50805468,55.42832613
118,-0.6735,30.616,0.16122,23.23368585,25.23111711,26.13251612,27.56588989,30.616,34.27621599,36.55396149,38.24451331,42.97826243,56.17535776
119,-0.6752,30.8854,0.16213,23.406293,25.42788103,26.34067909,27.79281178,30.8854,34.60112605,36.91587538,38.63509673,43.45451327,56.93120048
120,-0.6764,31.1586,0.16305,23.58052674,25.6268671,26.55133163,28.02264606,31.1586,34.93087577,37.28326106,39.03161389,43.93796126,57.69761167
121,-0.911135942,31.42964399,0.165415045,23.8992708,25.89192528,26.80131318,28.26133109,31.42964399,35.35392539,37.8702043,39.77746842,45.31279503,62.53813143
122,-0.915856606,31.71547021,0.166264254,24.09060181,26.10578281,27.02603274,28.50426656,31.71547021,35.69942327,38.25786669,40.19915596,45.8434812,63.50835708
123,-0.919445653,32.00528154,0.167118597,24.28346742,26.32192306,27.25335411,28.75028481,32.00528154,36.04973959,38.65071107,40.62621169,46.37964733,64.48081949
124,-0.921896044,32.29938655,0.167982878,24.47786905,26.540424,27.48339175,28.99956032,32.29938655,36.40534815,39.0493114,41.05928014,46.92210248,65.45613476
125,-0.923212608,32.59815166,0.168861072,24.67388357,26.76143411,27.71632834,29.25233236,32.59815166,36.76677409,39.45429061,41.49905399,47.4717078,66.43505274
