Height,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
89,-0.3833,12.3976,0.08904,10.54015618,11.08750235,11.32274503,11.68291072,12.3976,13.17421499,13.61890133,13.93192486,14.74029993,16.58129666
89.5,-0.3833,12.522,0.08907,10.64535378,11.19834407,11.43601629,11.79990598,12.522,13.3066833,13.7559995,14.07228635,14.88910476,16.74941252
90,-0.3833,12.6461,0.08911,10.75009521,11.30877048,11.54889116,11.91653536,12.6461,13.43893106,13.89292621,14.21251244,15.03787301,16.91774627
90.5,-0.3833,12.77,0.08915,10.85465179,11.41900719,11.66157433,12.03297012,12.77,13.57097359,14.02964494,14.35252875,15.18642728,17.08585876
91,-0.3833,12.8939,0.0892,10.95899989,11.52909151,11.77413062,12.14931864,12.8939,13.703118,14.16652763,14.49275429,15.33531362,17.25461371
91.5,-0.3833,13.0177,0.08925,11.06324451,11.63907287,11.88658431,12.26556526,13.0177,13.83516525,14.30331513,14.63288618,15.48411085,17.42329282
92,-0.3833,13.1415,0.08931,11.16727333,11.74889646,11.99890663,12.38172258,13.1415,13.96731804,14.44027247,14.77323483,15.63325216,17.59263786
92.5,-0.3833,13.2654,0.08937,11.27136498,11.85879324,12.11130673,12.49796491,13.2654,14.09958806,14.57735732,14.91371841,15.78254828,17.76218657
93,-0.3833,13.3896,0.08944,11.37548837,11.96879502,12.22384484,12.6143975,13.3896,14.23228616,14.71494763,15.05476364,15.93255755,17.93282674
93.5,-0.3833,13.5142,0.08951,11.47992569,12.07913536,12.33673229,12.73119616,13.5142,14.36542227,14.85299822,15.19628504,16.08308489,18.10408471
94,-0.3833,13.6393,0.08959,11.58455709,12.18975393,12.4499357,12.84837033,13.6393,14.49920286,14.99178022,15.33860083,16.23457596,18.27672673
94.5,-0.3833,13.765,0.08967,11.68966832,12.30088687,12.56366856,12.9660973,13.765,14.63363607,15.13124557,15.48162187,16.38682979,18.45026763
95,-0.3833,13.8914,0.08975,11.79534407,12.41262341,12.67802202,13.08447116,13.8914,14.76882831,15.27150437,15.62546086,16.53996582,18.62484222
95.5,-0.3833,14.0186,0.08984,11.90145878,12.52489896,12.79295917,13.20349898,14.0186,14.90498897,15.41283244,15.77044199,16.69443927,18.8012356
96,-0.3833,14.1466,0.08994,12.00800654,12.6377092,12.90847636,13.32317826,14.1466,15.04212102,15.55523461,15.91657145,16.85026007,18.97946739
96.5,-0.3833,14.2757,0.09004,12.11544999,12.75147417,13.02497399,13.44387763,14.2757,15.18044169,15.69887694,16.06397773,17.00745364,19.15929741
97,-0.3833,14.4059,0.09015,12.22357276,12.86603565,13.14232024,13.56550748,14.4059,15.320057,15.84393014,16.21287872,17.16636608,19.34139642
97.5,-0.3833,14.5376,0.09026,12.33292577,12.98190554,13.26100885,13.68853204,14.5376,15.46128879,15.99066744,16.36351183,17.32713617,19.52564702
98,-0.3833,14.671,0.09037,12.44367792,13.09926188,13.38122179,13.81313932,14.671,15.60435013,16.13930945,16.51610297,17.49000356,19.71232034
98.5,-0.3833,14.8062,0.09049,12.55569152,13.21803116,13.50291465,13.93933124,14.8062,15.74945658,16.290142,16.67098917,17.6554441,19.90224238
99,-0.3833,14.9434,0.09062,12.66912928,13.33838684,13.62626558,14.06729319,14.9434,15.8968244,16.44339082,16.82840293,17.82370801,20.09570527
99.5,-0.3833,15.0828,0.09075,12.78437933,13.46066732,13.75159012,14.19730399,15.0828,16.04655919,16.59910346,16.98834923,17.99468395,20.29229972
100,-0.3833,15.2246,0.09088,12.90160988,13.58505013,13.87906982,14.32955136,15.2246,16.19887437,16.75750108,17.15105469,18.16861272,20.49229909
100.5,-0.3833,15.3687,0.09102,13.02050502,13.71127684,14.00847256,14.46384529,15.3687,16.3537772,16.91865664,17.31664037,18.3457465,20.69629008
101,-0.3833,15.5154,0.09116,13.14154313,13.83977916,14.14020844,14.60056106,15.5154,16.51147681,17.08272314,17.48521798,18.52608376,20.903979
101.5,-0.3833,15.6646,0.09131,13.26440386,13.97029538,14.27404259,14.73950678,15.6646,16.67198276,17.24977728,17.65691338,18.70988443,21.11596798
102,-0.3833,15.8164,0.09146,13.38940003,14.10308164,14.41020524,14.88087116,15.8164,16.83528935,17.41974862,17.83160873,18.89690149,21.33168056
102.5,-0.3833,15.9707,0.09161,13.51644528,14.23804754,14.54860423,15.02455941,15.9707,17.00129101,17.59252841,18.00919308,19.08701831,21.55098749
103,-0.3833,16.1276,0.09177,13.64538188,14.37510472,14.68918274,15.17056494,16.1276,17.17021365,17.76841929,18.19002505,19.28074553,21.77478423
103.5,-0.3833,16.287,0.09193,13.77635967,14.51433568,14.83199271,15.31889098,16.287,17.34183542,17.94712522,18.3737545,19.47758615,22.00220253
104,-0.3833,16.4488,0.09209,13.90929234,14.65565005,14.976942,15.46944276,16.4488,17.51605074,18.12853744,18.56027042,19.67742353,22.23311314
104.5,-0.3833,16.6131,0.09226,14.04401509,14.79895423,15.1239694,15.62221068,16.6131,17.6930892,18.31296458,18.74993917,19.88078073,22.46843646
105,-0.3833,16.78,0.09243,14.18085357,14.94451388,15.27331311,15.77738892,16.78,17.87293845,18.50032537,18.94262899,20.08738832,22.70755117
105.5,-0.3833,16.9496,0.09261,14.31963789,15.09223164,15.42490875,15.93496571,16.9496,18.05583078,18.69093281,19.13871181,20.29777841,22.95139584
106,-0.3833,17.122,0.09278,14.46095297,15.24256322,15.57915293,16.09524308,17.122,18.24162549,18.88449871,19.33779148,20.51126043,23.19852829
106.5,-0.3833,17.2973,0.09296,14.60437371,15.39522421,15.73582537,16.25810315,17.2973,18.43068108,19.08153951,19.54049988,20.72878042,23.45069349
107,-0.3833,17.4755,0.09315,14.74989033,15.55020737,15.89492,16.42354174,17.4755,18.62300265,19.2820635,19.74684766,20.95035561,23.70792606
107.5,-0.3833,17.6567,0.09333,14.8981023,15.7079792,16.05684248,16.5918671,17.6567,18.81844188,19.48577009,19.95642274,21.17526963,23.96873184
108,-0.3833,17.8407,0.09352,15.04831598,15.86797697,16.22109013,16.76267285,17.8407,19.01704561,19.69285781,20.16953483,21.40413612,24.23450376
108.5,-0.3833,18.0277,0.09371,15.20095768,16.03056738,16.3880022,16.93625407,18.0277,19.21889954,19.90334187,20.38614739,21.63677672,24.5046982
109,-0.3833,18.2174,0.0939,15.35577205,16.19548192,16.5573045,17.11232791,18.2174,19.42368507,20.11689306,20.60592375,21.87283552,24.77891566
109.5,-0.3833,18.4096,0.09409,15.51258836,16.36254117,16.72881391,17.29070559,18.4096,19.63119009,20.33329236,20.82864001,22.11207615,25.05689169
110,-0.3833,18.6043,0.09428,15.67140456,16.53174363,16.90252917,17.47138623,18.6043,19.84141566,20.55254148,21.0542984,22.35450222,25.33863352
110.5,-0.3833,18.8015,0.09448,15.83193982,16.70288321,17.0782784,17.65425273,18.8015,20.0545015,20.77486588,21.28318718,22.60057346,25.62504004
111,-0.3833,19.0009,0.09467,15.99449432,16.87609899,17.25612733,17.83925383,19.0009,20.26985282,20.99949074,21.51439998,22.84902554,25.91393637
111.5,-0.3833,19.2024,0.09487,16.15842168,17.05088955,17.43564104,18.02606117,19.2024,20.48764273,21.22675699,21.74840077,23.10065883,26.20698635
112,-0.3833,19.406,0.09507,16.3239989,17.22745814,17.61698902,18.21479022,19.406,20.7077335,21.45644244,21.98490551,23.35502042,26.50330489
112.5,-0.3833,19.6116,0.09527,16.49114011,17.40571469,17.8000794,18.40534638,19.6116,20.93001936,21.68843806,22.22380288,23.61199315,26.80276191
113,-0.3833,19.819,0.09546,16.65996866,17.58569574,17.98490922,18.59766365,19.819,21.15414145,21.92228792,22.46456601,23.87085706,27.10414578
113.5,-0.3833,20.028,0.09566,16.82973161,17.76679441,18.17093873,18.79131017,20.028,21.3801781,22.15824185,22.70757069,24.1323329,27.40906641
114,-0.3833,20.2385,0.09586,17.00063387,17.94913409,18.35825416,18.9863127,20.2385,21.60787852,22.39595675,22.95240624,24.39582581,27.71645844
114.5,-0.3833,20.4502,0.09606,17.17242227,18.13244786,18.54658265,19.18238931,20.4502,21.83692307,22.63510169,23.19873379,24.66097637,28.02591562
115,-0.3833,20.6629,0.09626,17.34492796,18.31655769,18.73574222,19.37935198,20.6629,22.06709869,22.87545617,23.44632757,24.92754525,28.33716772
115.5,-0.3833,20.8766,0.09646,17.51815014,18.50146298,18.92573236,19.57720036,20.8766,22.29840585,23.11702093,23.69518858,25.19553408,28.65021823
116,-0.3833,21.0909,0.09666,17.69175249,18.68680871,19.11619002,19.77555903,21.0909,22.53041771,23.35935373,23.94486367,25.46446156,28.9645213
116.5,-0.3833,21.3059,0.09686,17.8658184,18.87268313,19.30720552,19.97452155,21.3059,22.76324139,23.60256581,24.19546703,25.73444953,29.2802167
117,-0.3833,21.5213,0.09707,18.03977879,19.05858703,19.49831212,20.17367371,21.5213,22.99671576,23.84658238,24.44698759,26.0056626,29.59792794
117.5,-0.3833,21.737,0.09727,18.21418078,19.24489565,19.68980634,20.37318583,21.737,23.23041758,24.09078146,24.69865761,26.2769344,29.91546366
118,-0.3833,21.9529,0.09747,18.38862633,19.43128946,19.88140477,20.57283265,21.9529,23.46439757,24.3353069,24.95068935,26.54866499,30.23370974
118.5,-0.3833,22.169,0.09767,18.56311538,19.61776837,20.07310736,20.77261412,22.169,23.69865585,24.58015886,25.20308309,26.82085483,30.55266738
119,-0.3833,22.3851,0.09788,18.73715124,19.80391321,20.26453079,20.97220484,22.3851,23.93314432,24.82538346,25.45595434,27.09381059,30.8731411
119.5,-0.3833,22.6012,0.09808,18.91138935,19.99020608,20.45607755,21.17187945,22.6012,24.16753339,25.07044799,25.70862121,27.36644154,31.19298472
120,-0.3833,22.8173,0.09828,19.08550364,20.17640713,20.64754739,21.3715013,22.8173,24.40198707,25.31561754,25.96142305,27.63929053,31.51326657
