Length,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
80,-0.3521,10.4475,0.08308,8.973299068,9.410617961,9.597813733,9.883549972,10.4475,11.05584801,11.40214965,11.64504852,12.26907611,13.67341924
80.5,-0.3521,10.5405,0.08301,9.054306086,9.495208999,9.683932006,9.97199159,10.5405,11.15372609,11.50278697,11.74761374,12.37656675,13.7918551
81,-0.3521,10.6352,0.08293,9.136956617,9.581464528,9.771722638,10.06211632,10.6352,11.25331611,11.60514021,11.85189649,12.48577466,13.91198544
81.5,-0.3521,10.7322,0.08284,9.221771296,9.669928825,9.861740004,10.15449393,10.7322,11.35525056,11.70986029,11.95856059,12.5973967,14.03458099
82,-0.3521,10.8321,0.08273,9.309437292,9.761267152,9.954638946,10.24976217,10.8321,11.46008284,11.81747145,12.06810869,12.71187599,14.1599302
82.5,-0.3521,10.935,0.0826,9.400051494,9.855577514,10.0505179,10.34802007,10.935,11.56791371,11.92807477,12.18064208,12.8293141,14.28813439
83,-0.3521,11.0415,0.08246,9.493972089,9.953286146,10.14983319,10.449771,11.0415,11.67945291,12.04244493,12.29698201,12.95065582,14.42043592
83.5,-0.3521,11.1516,0.08231,9.59120649,10.05439839,10.25258924,10.55501793,11.1516,11.79469706,12.16057653,12.41712162,13.0758905,14.55681499
84,-0.3521,11.2651,0.08215,9.691590395,10.15873948,10.35860677,10.66357466,11.2651,11.91343108,12.28224585,12.54083114,13.20477257,14.69699
84.5,-0.3521,11.3817,0.08198,9.79487359,10.26604454,10.46761461,10.77516037,11.3817,12.03533414,12.40712012,12.66776936,13.33693914,14.84054875
85,-0.3521,11.5007,0.08181,9.900284887,10.37555961,10.57886718,10.88904345,11.5007,12.15974612,12.53456453,12.79732032,13.47182673,14.98706634
85.5,-0.3521,11.6218,0.08163,10.00774644,10.48714499,10.69219725,11.00501342,11.6218,12.28626447,12.66411546,12.92897646,13.60881066,15.1356335
86,-0.3521,11.7444,0.08145,10.11656847,10.60013355,10.80694843,11.12243147,11.7444,12.41433694,12.79525049,13.06223738,13.74745127,15.28596807
86.5,-0.3521,11.8678,0.08128,10.22596659,10.71376183,10.9223673,11.24056074,11.8678,12.54330938,12.92734429,13.19649912,13.88720371,15.43767949
87,-0.3521,11.9916,0.08111,10.33577526,10.82779875,11.03819366,11.3590954,11.9916,12.67267427,13.05982548,13.33114439,14.02732861,15.58973285
87.5,-0.3521,12.1152,0.08096,10.44510463,10.94143212,11.15365077,11.47731526,12.1152,12.80197354,13.1923223,13.46586427,14.16768704,15.74241477
88,-0.3521,12.2382,0.08082,10.55378624,11.05442874,11.26847667,11.59491331,12.2382,12.93070103,13.3242655,13.60004418,14.30754387,15.8946982
88.5,-0.3521,12.3603,0.08069,10.66155508,11.16651311,11.38239141,11.71160282,12.3603,13.05854262,13.45533303,13.73335651,14.44655735,16.04621015
89,-0.3521,12.4815,0.08058,10.76821255,11.27754122,11.49527546,11.82730296,12.4815,13.18559188,13.58567455,13.86599148,14.5850263,16.19751605
89.5,-0.3521,12.6017,0.08048,10.87385459,11.38755491,11.60714647,11.94199321,12.6017,13.31165706,13.71504344,13.99766285,14.7225585,16.34796422
90,-0.3521,12.7209,0.08041,10.97808297,11.4962654,11.7177648,12.05551152,12.7209,13.43692579,13.84373982,14.12875204,14.85975319,16.49868853
90.5,-0.3521,12.8392,0.08034,11.0815605,11.60418124,11.8275696,12.16818737,12.8392,13.56123182,13.97143754,14.25881725,14.99585837,16.6481738
91,-0.3521,12.9569,0.0803,11.18394667,11.71113885,11.93647649,12.28006115,12.9569,13.68517446,14.09891487,14.38876586,15.13212655,16.79851612
91.5,-0.3521,13.0742,0.08026,11.28600214,11.81774547,12.04502364,12.39156172,13.0742,13.80868779,14.22594605,14.51825644,15.2679059,16.94829898
92,-0.3521,13.191,0.08025,11.3870304,11.92346825,12.15275173,12.50234604,13.191,13.93195364,14.35288207,14.64776233,15.40399767,17.09912976
92.5,-0.3521,13.3075,0.08025,11.48759814,12.02877368,12.26008215,12.612764,13.3075,14.05499757,14.47964356,14.77712813,15.54004237,17.2501455
93,-0.3521,13.4239,0.08026,11.58787261,12.13383867,12.36719591,12.72300297,13.4239,14.17803338,14.60645219,14.9065811,15.67628169,17.40162081
93.5,-0.3521,13.5404,0.08029,11.68781235,12.23868871,12.47414843,12.83316538,13.5404,14.30137317,14.73368696,15.03654844,15.81327141,17.55442474
