Month,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
57,1,107.8227,0.0431,99.08235424,101.8671269,103.0062299,104.6882393,107.8227,110.9571607,112.6391701,113.7782731,116.5630458,122.1834989
58,1,108.3613,0.04322,99.55283751,102.3593129,103.5072934,105.2024113,108.3613,111.5201887,113.2153066,114.3632871,117.1697625,122.8340179
59,1,108.8948,0.04334,100.0183934,102.8465166,104.003352,105.7115452,108.8948,112.0780548,113.786248,114.9430834,117.7712066,123.4791533
60,1,109.4233,0.04347,100.4770591,103.3274323,104.493369,106.2150012,109.4233,112.6315988,114.353231,115.5191677,118.3695409,124.1223943
61,1,109.6016,0.04355,100.6242906,103.4845626,104.6545483,106.3821595,109.6016,112.8210405,114.5486517,115.7186374,118.5789094,124.3517413
62,1,110.1258,0.04364,101.086913,103.9668043,105.1448152,106.8842765,110.1258,113.3673235,115.1067848,116.2847957,119.164687,124.9771163
63,1,110.6451,0.04373,101.5448609,104.4442996,105.6303064,107.3815744,110.6451,113.9086256,115.6598936,116.8459004,119.7453391,125.5972206
64,1,111.1596,0.04382,101.9982286,104.9171448,106.1111188,107.8741512,111.1596,114.4450488,116.2080812,117.4020552,120.3209714,126.2121638
65,1,111.6696,0.0439,102.4493941,105.3870556,106.5886973,108.363052,111.6696,114.976148,116.7505027,117.9521444,120.8898059,126.8188317
66,1,112.1753,0.04399,102.8943519,105.8513666,107.0609247,108.8469686,112.1753,115.5036314,117.2896753,118.4992334,121.4562481,127.4243339
67,1,112.6767,0.04407,103.3373143,106.3129479,107.5301219,109.3274118,112.6767,116.0259882,117.8232781,119.0404521,122.0160857,128.0217497
68,1,113.174,0.04415,103.7763663,106.7705583,107.9953237,109.8038229,113.174,116.5441771,118.3526763,119.5774417,122.5716337,128.6147539
69,1,113.6672,0.04423,104.2115097,107.2241992,108.4565309,110.2762026,113.6672,117.0581974,118.8778691,120.1102008,123.1228903,129.2033437
70,1,114.1565,0.04431,104.6429296,107.6740604,108.9139354,110.7447457,114.1565,117.5682543,119.3990646,120.6389396,123.6700704,129.7877433
71,1,114.6421,0.04439,105.0708113,108.1203317,109.367729,111.2096467,114.6421,118.0745533,119.916471,121.1638683,124.2133887,130.3681773
72,1,115.1244,0.04447,105.4955228,108.5633916,109.8182942,111.6712944,115.1244,118.5775056,120.4305058,121.6854084,124.7532772,130.9450979
73,1,115.6039,0.04454,105.919698,109.0051939,110.2673069,112.1309538,115.6039,119.0768462,120.9404931,122.2026061,125.288102,131.5154991
74,1,116.0812,0.04461,106.3417316,109.444836,110.7141516,112.5884342,116.0812,119.5739658,121.4482484,122.717564,125.8206684,132.0836044
75,1,116.5568,0.04469,106.7598902,109.8812961,111.1580979,113.0434346,116.5568,120.0701654,121.9555021,123.2323039,126.3537098,132.6535833
76,1,117.0311,0.04475,107.1811173,110.3194328,111.6031515,113.4987016,117.0311,120.5634984,122.4590485,123.7427672,126.8810827,133.2150846
77,1,117.5044,0.04482,107.5991117,110.7550482,112.0459746,113.9521679,117.5044,121.0566321,122.9628254,124.2537518,127.4096883,133.7792543
78,1,117.9769,0.04489,108.0162489,111.1898246,112.4879663,114.4048137,117.9769,121.5489863,123.4658337,124.7639754,127.9375511,134.3427179
79,1,118.4489,0.04495,108.4350319,111.6255631,112.9306404,114.857729,118.4489,122.040071,123.9671596,125.2722369,128.4627681,134.9021561
80,1,118.9208,0.04502,108.8513801,112.0596108,113.371928,115.3097071,118.9208,122.5318929,124.469672,125.7819892,128.9902199,135.4653303
81,1,119.3926,0.04508,109.269758,112.4950096,113.8142891,115.7623489,119.3926,123.0228511,124.9709109,126.2901904,129.515442,136.0249052
82,1,119.8648,0.04514,109.6883955,112.9307127,114.2569729,116.2153403,119.8648,123.5142597,125.4726271,126.7988873,130.0412045,136.5851109
83,1,120.3374,0.0452,110.1072925,113.36672,114.6999792,116.6686813,120.3374,124.0061187,125.9748208,127.30808,130.5675075,137.1459476
84,1,120.8105,0.04525,110.5288124,113.8046739,115.1446554,117.1232837,120.8105,124.4977163,126.4763446,127.8163261,131.0921876,137.7037961
85,1,121.2843,0.04531,110.9486025,114.2416722,115.5886926,117.5777147,121.2843,124.9908853,126.9799074,128.3269278,131.6199975,138.2663368
86,1,121.7587,0.04536,111.3711246,114.6807232,116.0345047,118.0335102,121.7587,125.4838898,127.4828953,128.8366768,132.1462754,138.8259746
87,1,122.2338,0.04542,111.7918987,115.1188062,116.4796678,118.4891279,122.2338,125.9784721,127.9879322,129.3487938,132.6757013,139.3903346
