Months,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
2.266940452,0.1416,15.9655,0.09336,13.36473423,14.15063342,14.4833501,14.9869131,15.9655,16.99843743,17.57600597,17.97664821,18.9892616,21.18295725
2.299794661,0.1377,15.9874,0.09332,13.38493032,14.17118708,14.50409607,15.00799662,15.9874,17.02142912,17.59971068,18.0008906,19.01501941,21.2127582
2.332648871,0.1339,16.0087,0.09328,13.40460585,14.19120076,14.52429262,15.0285151,16.0087,17.04377761,17.62274533,18.02444316,19.04003351,21.24168042
2.36550308,0.1301,16.0297,0.09324,13.42403314,14.21095065,14.54421876,15.0487531,16.0297,17.06580566,17.64544826,18.04765629,19.06468907,21.27020546
2.398357289,0.1263,16.0501,0.0932,13.44296082,14.23017071,14.56360222,15.06842896,16.0501,17.08719391,17.66748928,18.07019224,19.0886293,21.29793519
2.431211499,0.1226,16.0702,0.09316,13.46161871,14.24911645,14.58270823,15.08782126,16.0702,17.10825842,17.68919053,18.09237618,19.11218251,21.32518327
2.464065708,0.119,16.0897,0.09312,13.47975539,14.2675218,14.60126449,15.10664831,16.0897,17.12867984,17.7102218,18.11387033,19.13499182,21.35155107
2.496919918,0.1154,16.1089,0.09308,13.49764332,14.28566301,14.61955007,15.12519473,16.1089,17.14878091,17.73092146,18.13502513,19.15744254,21.37752088
2.529774128,0.1118,16.1277,0.09304,13.51519857,14.30345136,14.63747417,15.14336659,16.1277,17.16845519,17.75117945,18.15572802,19.17941575,21.40295996
2.562628337,0.1082,16.1461,0.093,13.53242102,14.32088674,14.65503672,15.16116387,16.1461,17.18770272,17.77099582,18.17597903,19.20091148,21.42786826
2.595482546,0.1047,16.164,0.09297,13.5489459,14.33768396,14.67198637,15.17838655,16.164,17.206529,17.79043493,18.19588324,19.22213719,21.45267151
2.628336756,0.1013,16.1817,0.09293,13.56554358,14.35448104,14.68890246,15.19552232,16.1817,17.22502296,17.80946214,18.21531806,19.2427401,21.4764816
2.661190965,0.0978,16.1989,0.09289,13.58174549,14.37084657,14.70537296,15.21219249,16.1989,17.24298714,17.82794589,18.23420122,19.26277531,21.49971289
2.694045174,0.0944,16.2158,0.09286,13.5974167,14.38675072,14.72141156,15.22847549,16.2158,17.26074346,17.84627331,18.25296376,19.28278,21.52310776
2.726899384,0.0911,16.2323,0.09282,13.61299321,14.40247753,14.73723527,15.24448395,16.2323,17.27795419,17.863968,18.27103079,19.3019222,21.54523922
2.759753593,0.0877,16.2485,0.09279,13.62808096,14.41776327,14.75264056,15.26011103,16.2485,17.2949641,17.88152322,18.28900335,19.32109253,21.5677075
2.792607803,0.0844,16.2644,0.09275,13.64315796,14.43296053,14.76792189,15.27555759,16.2644,17.31153459,17.89855531,18.30639235,19.33951814,21.58904219
2.825462013,0.0811,16.28,0.09272,13.65772457,14.44770602,14.78277759,15.29061953,16.28,17.32790122,17.91544027,18.32367479,19.35794418,21.61063041
2.858316222,0.0779,16.2952,0.09268,13.67219664,14.46227441,14.79741864,15.30540715,16.2952,17.34372176,17.93169161,18.34026051,19.37550541,21.6309492
2.891170431,0.0747,16.3101,0.09265,13.68615788,14.47639069,14.81163377,15.31980994,16.3101,17.35933873,17.9477963,18.35674031,19.39306814,21.65152367
2.924024641,0.0715,16.3247,0.09262,13.6998688,14.49024176,14.82557735,15.33393154,16.3247,17.37463585,17.96357011,18.37288162,19.41027338,21.67170113
