Month,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
67,-0.4864,19.3004,0.14624,14.90929361,16.13140266,16.67456575,17.52768367,19.3004,21.35333406,22.59145122,23.4915201,25.92990169,32.15109762
68,-0.4894,19.473,0.14679,15.03036013,16.26592207,16.81528572,17.67841625,19.473,21.55302905,22.80839355,23.72142384,26.19668621,32.52336187
69,-0.4924,19.6455,0.14735,15.15091632,16.40001266,16.95562098,17.82884346,19.6455,21.75293308,23.02576974,23.95194358,26.4646618,32.89885525
70,-0.4954,19.818,0.1479,15.27154012,16.5341417,17.09598394,17.97928467,19.818,21.95285006,23.24318429,24.18252937,26.73282127,33.27516496
71,-0.4984,19.9908,0.14845,15.39221436,16.66836899,17.23647144,18.1298984,19.9908,22.15326555,23.46124564,24.41388401,27.0021441,33.65411105
72,-0.5013,20.1639,0.149,15.5128883,16.80266749,17.37706473,18.28067592,20.1639,22.35416821,23.67992396,24.64595866,27.27250563,34.035211
73,-0.5043,20.3377,0.14955,15.63397121,16.93742421,17.51814557,18.43199681,20.3377,22.55602638,23.89975325,24.87934695,27.54471313,34.42017826
74,-0.5072,20.5124,0.1501,15.75551344,17.07275051,17.65984784,18.5840244,20.5124,22.75903886,24.12090783,25.11419387,27.81878199,34.80835404
75,-0.51,20.6885,0.15065,15.87789581,17.2090603,17.80260018,18.73721049,20.6885,22.96376155,24.34397737,25.35111364,28.09539304,35.20059018
76,-0.5129,20.8661,0.1512,16.00129895,17.34649131,17.94652607,18.89166245,20.8661,23.17033297,24.56914949,25.59034232,28.3749694,35.59817946
77,-0.5157,21.0457,0.15175,16.12599698,17.4854003,18.09201435,19.0478134,21.0457,23.37928526,24.79695091,25.83239051,28.65792487,36.0009196
78,-0.5185,21.2274,0.1523,16.25211682,17.62589613,18.23916833,19.20576122,21.2274,23.59074534,25.02753826,26.07744312,28.94455035,36.4095801
79,-0.5213,21.4113,0.15284,16.3799999,17.76826583,18.38824764,19.36571856,21.4113,23.80465791,25.26075003,26.32525559,29.23435215,36.82287815
80,-0.524,21.5979,0.15339,16.50943434,17.9124793,18.53930724,19.527879,21.5979,24.0219063,25.49771432,26.57713994,29.52916445,37.24412107
81,-0.5268,21.7872,0.15393,16.64106679,18.05900814,18.69273933,19.69250851,21.7872,24.24218098,25.73793638,26.83246836,29.82800848,37.67153739
82,-0.5294,21.9795,0.15448,16.77440791,18.20758734,18.84837798,19.85959536,21.9795,24.46612193,25.98224725,27.09220302,30.13216491,38.10692665
83,-0.5321,22.1751,0.15502,16.91039989,18.35897465,19.00689982,20.02969054,22.1751,24.69376223,26.23053469,27.35613462,30.4412025,38.54962017
84,-0.5347,22.374,0.15556,17.04864848,18.51289332,19.16807876,20.20264513,22.374,24.92525075,26.48302297,27.62453474,30.75548612,38.99995567
85,-0.5372,22.5762,0.1561,17.18914621,18.66933777,19.33191012,20.37845589,22.5762,25.16059153,26.73971869,27.89741188,31.07502974,39.45796306
86,-0.5398,22.7816,0.15663,17.33221417,18.82850355,19.49853533,20.55718183,22.7816,25.39952607,27.00028356,28.17437808,31.39934982,39.92321953
87,-0.5423,22.9904,0.15717,17.47731655,18.99005248,19.66770618,20.73871829,22.9904,25.64261324,27.26549371,28.45636703,31.72980198,40.39808772
88,-0.5447,23.2025,0.1577,17.62493431,19.15433339,19.83970549,20.92323524,23.2025,25.88938037,27.53462047,28.74244911,32.06484911,40.87905593
89,-0.5471,23.418,0.15823,17.77491891,19.32124003,20.01445223,21.11069961,23.418,26.14014081,27.808138,29.03323115,32.40552646,41.36874232
90,-0.5495,23.6369,0.15876,17.92726531,19.49076817,20.19194267,21.30110859,23.6369,26.3948994,28.0860551,29.32872533,32.75185804,41.86722382
91,-0.5518,23.8593,0.15928,18.08227005,19.66318697,20.37242727,21.49467487,23.8593,26.65356493,28.36813211,29.62856783,33.10307213,42.3721793
92,-0.5541,24.0853,0.1598,18.23978055,19.83838613,20.55582122,21.6913623,24.0853,26.91645744,28.65485585,29.9333835,33.46024147,42.88635496
93,-0.5563,24.3149,0.16032,18.39972364,20.0163247,20.74209518,21.89115614,24.3149,27.18356472,28.94618999,30.24310999,33.82319494,43.40901673
94,-0.5585,24.5482,0.16084,18.56223577,20.19711606,20.93135523,22.09415497,24.5482,27.45502032,29.24230665,30.55795674,34.19228534,43.94120242
95,-0.5606,24.7853,0.16135,18.72761826,20.38103433,21.12385655,22.30057534,24.7853,27.73072426,29.54294944,30.87753598,34.5666906,44.48041485
96,-0.5627,25.0262,0.16186,18.89563721,20.56788127,21.31942375,22.51028681,25.0262,28.01089409,29.84850377,31.20237332,34.9473967,45.02940211
97,-0.5647,25.271,0.16237,19.06629081,20.75769572,21.51811094,22.7233637,25.271,28.29562852,30.15904965,31.532526,35.33435758,45.58753814
98,-0.5667,25.5197,0.16287,19.2399516,20.95075067,21.72014561,22.93996077,25.5197,28.58474514,30.47429453,31.8676219,35.72699001,46.15376251
99,-0.5686,25.7721,0.16337,19.41608614,21.1466015,21.92512386,23.15973927,25.7721,28.87820728,30.79430003,32.20779342,36.12561282,46.72880337
100,-0.5704,26.0284,0.16386,19.59515019,21.34565044,22.13341982,23.38302377,26.0284,29.17603311,31.11895452,32.5528248,36.5296854,47.31098828
101,-0.5722,26.2883,0.16435,19.7766771,21.54744624,22.34459641,23.60940898,26.2883,29.47811576,31.44830726,32.90289858,36.93984019,47.90275593
102,-0.574,26.5519,0.16483,19.96105584,21.75231532,22.55894785,23.83913309,26.5519,29.78435757,31.78212136,33.257667,37.35538694,48.50224834
103,-0.5757,26.819,0.16532,20.14741829,21.95955237,22.77584714,24.07169914,26.819,30.09494542,32.12083833,33.61776639,37.77752984,49.11237039
104,-0.5773,27.0896,0.16579,20.33672074,22.16990415,22.9959341,24.30756162,27.0896,30.40923211,32.46335562,33.98173151,38.20368223,49.72668261
105,-0.5789,27.3635,0.16626,20.52824816,22.3827476,23.21863881,24.54624986,27.3635,30.72744677,32.81022512,34.35038065,38.63552594,50.35011771
106,-0.5804,27.6406,0.16673,20.72183991,22.59795325,23.44384245,24.78765738,27.6406,31.04945982,33.16127754,34.72350436,39.07269033,50.98148265
107,-0.5819,27.9208,0.16719,20.91782865,22.81573872,23.67170994,25.03186463,27.9208,31.37495725,33.51606902,35.10056463,39.51438635,51.61941489
108,-0.5833,28.204,0.16764,21.11606051,23.03598066,23.902128,25.27876945,28.204,31.70380106,33.87441466,35.48133002,39.96019856,52.26257061
109,-0.5847,28.4901,0.16809,21.31620865,23.25838078,24.13481914,25.52813762,28.4901,32.03612802,34.23664,35.86628651,40.41115287,52.91415407
110,-0.5859,28.7791,0.16854,21.51809756,23.48284269,24.36971544,25.77993658,28.7791,32.37189586,34.60262972,36.25524085,40.86672882,53.57188315
111,-0.5872,29.0711,0.16897,21.72274148,23.7101222,24.60745788,26.03462823,29.0711,32.71081541,34.97188235,36.64755043,41.32596933,54.23461641
112,-0.5883,29.3663,0.16941,21.92900061,23.93943579,24.84742628,26.291854,29.3663,33.05374726,35.34565789,37.04476376,41.79118627,54.90634808
113,-0.5895,29.6646,0.16983,22.13810002,24.17165697,25.09033275,26.55206728,29.6646,33.39993541,35.72280288,37.44543992,42.26017649,55.58318451
114,-0.5905,29.9663,0.17025,22.34930247,24.40634175,25.33586356,26.81515744,29.9663,33.75012201,36.10430117,37.8507237,42.73444455,56.26684824
115,-0.5915,30.2715,0.17066,22.5632118,24.64394384,25.58440741,27.08141419,30.2715,34.10422406,36.48998377,38.26039713,43.21370697,56.95747045
116,-0.5925,30.5805,0.17107,22.77969697,24.88442937,25.83597915,27.35093585,30.5805,34.46282507,36.88063249,38.67539973,43.6993905,57.65816476
117,-0.5934,30.8934,0.17146,22.99945952,25.12839421,26.09111312,27.6241412,30.8934,34.82551192,37.27544345,39.09460244,44.18929841,58.3625781
118,-0.5942,31.2105,0.17186,23.22163476,25.37522961,26.34933081,27.90077721,31.2105,35.19337436,37.67606429,39.52009878,44.68691115,59.07904806
119,-0.595,31.5319,0.17224,23.4474846,25.62592628,26.61148948,28.1814755,31.5319,35.56578989,38.08138056,39.95038964,45.18957089,59.80114545
