Month,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
46,1,102.1933,0.04031,94.44553639,96.9140612,97.92380394,99.41479888,102.1933,104.9718011,106.4627961,107.4725388,109.9410636,114.9232398
47,1,102.7625,0.04045,94.9445241,97.43541934,98.45431263,99.95881937,102.7625,105.5661806,107.0706874,108.0895807,110.5804759,115.6078019
48,1,103.3273,0.04059,95.43914796,97.95240211,98.98044125,100.4984528,103.3273,106.1561472,107.6741588,108.7021979,111.215452,116.2879046
49,1,103.8886,0.04073,95.93024251,98.4658649,99.50305371,101.0345758,103.8886,106.7426242,108.2741463,109.3113351,111.8469575,116.9645555
50,1,104.4473,0.04086,96.42060575,98.97800101,100.0240959,101.5687688,104.4473,107.3258312,108.8705041,109.916599,112.4739942,117.635536
51,1,105.0041,0.041,96.90696736,99.48680508,100.54208,102.1003082,105.0041,107.9078918,109.46612,110.5213949,113.1012326,118.3080695
52,1,105.5596,0.04113,97.39382168,99.99553069,101.059752,102.6311905,105.5596,108.4880095,110.059448,111.1236693,113.7253783,118.9763576
53,1,106.1138,0.04126,97.87920525,100.50284,101.5760299,103.1607116,106.1138,109.0668884,110.6515701,111.72476,114.3483947,119.6436262
54,1,106.6668,0.04139,98.36321123,101.0088282,102.09101,103.688969,106.6668,109.644631,111.24259,112.3247718,114.9703888,120.3099867
55,1,107.2188,0.04152,98.84602487,101.5136854,102.604884,104.2161574,107.2188,110.2214426,111.832716,112.9239146,115.5915751,120.9756631
56,1,107.7697,0.04165,99.32755475,102.0173174,103.1175568,104.7421799,107.7697,110.7972201,112.4218432,113.5220826,116.2118452,121.6405415
57,1,108.3198,0.04177,99.81011538,102.5213968,103.6304384,105.268059,108.3198,111.371541,113.0091616,114.1182032,116.8294846,122.3016118
58,1,108.8689,0.0419,100.2894589,103.0229655,104.1410983,105.7921429,108.8689,111.9456571,113.5967017,114.7148345,117.4483411,122.965325
59,1,109.417,0.04202,100.7696708,103.5248074,104.6517878,106.3158969,109.417,112.5181031,114.1822122,115.3091926,118.0643292,123.6249683
60,1,109.9638,0.04214,101.2484384,104.0252508,105.1610977,106.8382991,109.9638,113.0893009,114.7665023,115.9023492,118.6791616,124.2835488
61,1,110.2647,0.04164,101.6291826,104.3805558,105.5059968,107.1678328,110.2647,113.3615672,115.0234032,116.1488442,118.9002174,124.4532609
62,1,110.8006,0.04172,102.1064415,104.8764984,106.0095819,107.682703,110.8006,113.918497,115.5916181,116.7247016,119.4947585,125.085511
63,1,111.3338,0.0418,102.5810514,105.3697758,106.5104952,108.1948914,111.3338,114.4727086,116.1571048,117.2978242,120.0865486,125.7149774
64,1,111.8636,0.04187,103.0544726,105.8611599,107.0092269,108.7044728,111.8636,115.0227272,116.7179731,117.8660401,120.6727274,126.3374105
65,1,112.3895,0.04195,103.522048,106.3473182,107.5029865,109.2094565,112.3895,115.5695435,117.2760135,118.4316818,121.256952,126.9591404
66,1,112.911,0.04203,103.9854131,106.8292057,107.9924506,109.7101082,112.911,116.1118918,117.8295494,118.9927943,121.8365869,127.5761589
