Length,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
77,-0.3833,9.5166,0.08979,8.080081207,8.503115052,8.685001858,8.96355983,9.5166,10.11798045,10.46251973,10.70512946,11.33196801,12.76111055
77.5,-0.3833,9.6086,0.08972,8.159202782,8.586055057,8.769576844,9.050631033,9.6086,10.21530041,10.56286953,10.80760505,11.43990731,12.88135797
78,-0.3833,9.7015,0.08965,8.239108186,8.669813567,8.854985123,9.138558037,9.7015,10.31356773,10.66419351,10.91107356,11.54888747,13.00275297
78.5,-0.3833,9.7957,0.08959,8.319990463,8.754640821,8.941502504,9.227656935,9.7957,10.41327938,10.76704681,11.01613222,11.65961858,13.12628449
79,-0.3833,9.8915,0.08952,8.402397388,8.841019132,9.029581194,9.318331579,9.8915,10.51461097,10.87152852,11.12282403,11.7719904,13.2514499
79.5,-0.3833,9.9892,0.08946,8.486288844,8.929001,9.119315486,9.410742526,9.9892,10.61802565,10.97820055,11.23178263,11.88683033,13.37956151
80,-0.3833,10.0891,0.0894,8.57206723,9.01896245,9.211069075,9.505233459,10.0891,10.72377014,11.08727646,11.34319712,12.00426006,13.5105657
80.5,-0.3833,10.1916,0.08934,8.660073035,9.111261515,9.305207535,9.60218149,10.1916,10.83226931,11.19919532,11.4575166,12.12475453,13.64499622
81,-0.3833,10.2965,0.08928,8.750137003,9.2057199,9.401548679,9.701398471,10.2965,10.94331024,11.31373682,11.57451554,12.24807471,13.78258321
81.5,-0.3833,10.4041,0.08923,8.842358501,9.302492108,9.50027175,9.803102711,10.4041,11.05728779,11.43135292,11.69468725,12.37482515,13.92420731
82,-0.3833,10.514,0.08918,8.936551179,9.401332774,9.601104988,9.906980862,10.514,11.17370177,11.55148331,11.81742794,12.50428542,14.06885987
82.5,-0.3833,10.6263,0.08914,9.032640931,9.502215032,9.704042893,10.01306135,10.6263,11.29273618,11.6743629,11.94300957,12.63682762,14.2171643
83,-0.3833,10.741,0.0891,9.130784451,9.605253411,9.809180823,10.12140899,10.741,11.41431445,11.7998685,12.07127495,12.77220231,14.36863814
83.5,-0.3833,10.8578,0.08906,9.230727128,9.710179936,9.916245059,10.23174125,10.8578,11.53811759,11.92767023,12.20188652,12.91005211,14.52287882
